,Metal,IsolateID,Replicate,Concentration,factor,hours,od
1083,Se,DR 13,3,0,0,0,0.001
1084,Se,DR 13,1,1,1,0,0.001
1085,Se,DR 13,2,1,1,0,0.001
1086,Se,DR 13,3,1,1,0,0.001
1087,Se,DR 13,1,10,2,0,0.001
1088,Se,DR 13,2,10,2,0,0.001
1089,Se,DR 13,3,10,2,0,0.001
1091,Se,DR 13,2,100,3,0,0.001
1093,Se,DR 13,1,1000,4,0,0.001
1095,Se,DR 13,3,1000,4,0,0.001
1098,Se,DR 13,3,10000,5,0,0.001
3313,Se,DR 26,1,0,0,0,0.001
3314,Se,DR 26,2,0,0,0,0.001
3315,Se,DR 26,3,0,0,0,0.001
3316,Se,DR 26,1,1,1,0,0.001
3317,Se,DR 26,2,1,1,0,0.001
3318,Se,DR 26,3,1,1,0,0.001
3319,Se,DR 26,1,10,2,0,0.001
3320,Se,DR 26,2,10,2,0,0.001
3321,Se,DR 26,3,10,2,0,0.001
3322,Se,DR 26,1,100,3,0,0.001
3323,Se,DR 26,2,100,3,0,0.001
3324,Se,DR 26,3,100,3,0,0.001
3325,Se,DR 26,1,1000,4,0,0.001
3326,Se,DR 26,2,1000,4,0,0.001
3327,Se,DR 26,3,1000,4,0,0.001
3328,Se,DR 26,1,10000,5,0,0.001
3329,Se,DR 26,2,10000,5,0,0.001
3330,Se,DR 26,3,10000,5,0,0.001
5833,Se,DR 52,1,0,0,0,0.001
5834,Se,DR 52,2,0,0,0,0.001
5836,Se,DR 52,1,1,1,0,0.001
5837,Se,DR 52,2,1,1,0,0.001
5838,Se,DR 52,3,1,1,0,0.001
5839,Se,DR 52,1,10,2,0,0.001
5840,Se,DR 52,2,10,2,0,0.001
5841,Se,DR 52,3,10,2,0,0.001
5842,Se,DR 52,1,100,3,0,0.001
5843,Se,DR 52,2,100,3,0,0.001
5844,Se,DR 52,3,100,3,0,0.001
5845,Se,DR 52,1,1000,4,0,0.001
5846,Se,DR 52,2,1000,4,0,0.001
5847,Se,DR 52,3,1000,4,0,0.001
5848,Se,DR 52,1,10000,5,0,0.001
5849,Se,DR 52,2,10000,5,0,0.001
5850,Se,DR 52,3,10000,5,0,0.001
6027,Cd,DR 5,3,1,4,0,0.001
8246,Se,DR 60,2,0,0,0,0.001
8248,Se,DR 60,1,1,1,0,0.001
8249,Se,DR 60,2,1,1,0,0.001
8250,Se,DR 60,3,1,1,0,0.001
8251,Se,DR 60,1,10,2,0,0.001
8252,Se,DR 60,2,10,2,0,0.001
8253,Se,DR 60,3,10,2,0,0.001
8254,Se,DR 60,1,100,3,0,0.001
8255,Se,DR 60,2,100,3,0,0.001
8258,Se,DR 60,2,1000,4,0,0.001
8259,Se,DR 60,3,1000,4,0,0.001
8260,Se,DR 60,1,10000,5,0,0.001
8262,Se,DR 60,3,10000,5,0,0.001
13273,Pb,NO 14,1,0.1,2,0,0.001
13274,Pb,NO 14,2,0.1,2,0,0.001
13276,Pb,NO 14,1,1,3,0,0.001
13299,Zn,NO 14,3,100,4,0,0.001
14221,Se,NO 14,1,0,0,0,0.001
14222,Se,NO 14,2,0,0,0,0.001
14223,Se,NO 14,3,0,0,0,0.001
14224,Se,NO 14,1,1,1,0,0.001
14225,Se,NO 14,2,1,1,0,0.001
14226,Se,NO 14,3,1,1,0,0.001
14227,Se,NO 14,1,10,2,0,0.001
14228,Se,NO 14,2,10,2,0,0.001
14229,Se,NO 14,3,10,2,0,0.001
14230,Se,NO 14,1,100,3,0,0.001
14231,Se,NO 14,2,100,3,0,0.001
14232,Se,NO 14,3,100,3,0,0.001
14233,Se,NO 14,1,1000,4,0,0.001
14234,Se,NO 14,2,1000,4,0,0.001
14235,Se,NO 14,3,1000,4,0,0.001
14236,Se,NO 14,1,10000,5,0,0.001
14237,Se,NO 14,2,10000,5,0,0.001
14238,Se,NO 14,3,10000,5,0,0.001
15481,Se,NO 17,1,0,0,0,0.001
15482,Se,NO 17,2,0,0,0,0.001
15483,Se,NO 17,3,0,0,0,0.001
15484,Se,NO 17,1,1,1,0,0.001
15485,Se,NO 17,2,1,1,0,0.001
15486,Se,NO 17,3,1,1,0,0.001
15487,Se,NO 17,1,10,2,0,0.001
15488,Se,NO 17,2,10,2,0,0.001
15489,Se,NO 17,3,10,2,0,0.001
15490,Se,NO 17,1,100,3,0,0.001
15491,Se,NO 17,2,100,3,0,0.001
15492,Se,NO 17,3,100,3,0,0.001
15493,Se,NO 17,1,1000,4,0,0.001
15494,Se,NO 17,2,1000,4,0,0.001
15495,Se,NO 17,3,1000,4,0,0.001
15496,Se,NO 17,1,10000,5,0,0.001
15497,Se,NO 17,2,10000,5,0,0.001
15498,Se,NO 17,3,10000,5,0,0.001
15702,Zn,NO 22,3,0.1,1,0,0.001
15704,Zn,NO 22,2,1,2,0,0.001
15734,As,NO 22,2,0,0,0,0.001
15740,As,NO 22,2,0.01,2,0,0.001
15741,As,NO 22,3,0.01,2,0,0.001
16633,Se,NO 22,1,0,0,0,0.001
16634,Se,NO 22,2,0,0,0,0.001
16635,Se,NO 22,3,0,0,0,0.001
16636,Se,NO 22,1,1,1,0,0.001
16637,Se,NO 22,2,1,1,0,0.001
16638,Se,NO 22,3,1,1,0,0.001
16639,Se,NO 22,1,10,2,0,0.001
16640,Se,NO 22,2,10,2,0,0.001
16641,Se,NO 22,3,10,2,0,0.001
16642,Se,NO 22,1,100,3,0,0.001
16643,Se,NO 22,2,100,3,0,0.001
16644,Se,NO 22,3,100,3,0,0.001
16645,Se,NO 22,1,1000,4,0,0.001
16646,Se,NO 22,2,1000,4,0,0.001
16647,Se,NO 22,3,1000,4,0,0.001
16648,Se,NO 22,1,10000,5,0,0.001
16649,Se,NO 22,2,10000,5,0,0.001
16815,Cd,SI 2,3,0,0,0,0.001
16819,Cd,SI 2,1,0.01,2,0,0.001
16823,Cd,SI 2,2,0.1,3,0,0.001
16827,Cd,SI 2,3,1,4,0,0.001
16840,Pb,SI 2,1,1,3,0,0.001
16864,Zn,SI 2,1,1000,5,0,0.001
16902,As,SI 2,3,10,5,0,0.001
16914,Cr,SI 2,3,1,3,0,0.001
1090,Se,DR 13,1,100,3,0,0.001
