ID,Sampleold,Sample,Distance,Distanceriver,up.down,Location North,Location West,Date Sampled,Site ID,Spill Reference,Scheme,Sampling Depth,Core ,HgcA,FeRB,SRB
27,U-06,U-03,3.6,0.5,1,N 36 28.605,W 079 45.018,7/8/2015,D-06,Upstream,B,0-8,S1,149.1387003,1.728825999,0.015057149
28,U-06,U-03,3.6,0.5,1,N 36 28.605,W 079 45.018,7/8/2015,D-06,Upstream,B,16-Dec,S1,266.2071437,4.068891602,0.022521236
29,U-06,U-03,3.6,0.5,1,N 36 28.605,W 079 45.018,7/8/2015,D-06,Upstream,B,0-8,S2,91.87591228,1.246846575,0.003844141
30,U-06,U-03,3.6,0.5,1,N 36 28.605,W 079 45.018,7/8/2015,D-06,Upstream,B,16-Dec,S2,210.6128,2.82466313,0.017248352
31,U-06,U-03,3.6,0.5,1,N 36 28.605,W 079 45.018,7/8/2015,D-06,Upstream,B,0-8,S3,113.6068648,3.239916585,0.013423317
32,U-06,U-03,3.6,0.5,1,N 36 28.605,W 079 45.018,7/8/2015,D-06,Upstream,B,16-Dec,S3,150.7722161,2.989495757,0.014433514
33,U-06,U-03,3.6,0.5,1,N 36 28.605,W 079 45.018,7/8/2015,D-06,Upstream,Dredge,Dredge,,23.51438676,0.77378048,0.015960208
22,U-05,U-02,2.7,1.42,3,N 36 28.261,W 079 44.598,7/8/2015,D-05,Upstream,C,0-4,Pooled,15.17560222,0.007415569,0.000692604
23,U-05,U-02,2.7,1.42,3,N 36 28.261,W 079 44.598,7/8/2015,D-05,Upstream,C,8-Apr,Pooled,6.8583424,0.004160052,0.000559485
24,U-05,U-02,2.7,1.42,3,N 36 28.261,W 079 44.598,7/8/2015,D-05,Upstream,C,12-Aug,Pooled,28.71769385,0.650634034,0.004869387
25,U-05,U-02,2.7,1.42,3,N 36 28.261,W 079 44.598,7/8/2015,D-05,Upstream,C,16-Dec,Pooled,13.68457309,0.7609521,0.005519173
26,U-05,U-02,2.7,1.42,3,N 36 28.261,W 079 44.598,7/8/2015,D-05,Upstream,Dredge,Dredge,,48.082456,0.709121785,0.009706915
19,U-04,U-01,1.6,2.53,4,N 36 28.574,W 079 43.989,7/8/2015,D-04,Upstream,A,0-8,Pooled,8.896227425,0.001031901,0.000274209
20,U-04,U-01,1.6,2.53,4,N 36 28.574,W 079 43.989,7/8/2015,D-04,Upstream,A,16-Aug,Pooled,0.187097581,0.000954723,0.00023627
21,U-04,U-01,1.6,2.53,4,N 36 28.574,W 079 43.989,7/8/2015,D-04,Upstream,Ponar,Ponar,,172.2569362,1.091115426,0.01400477
37,L-08,L-01,0,4.4,5,N 36 29.188,W 079 43.025,7/15/2015,D-08,Leaching,B,0-8,S1,142.3726348,5.902196228,0.017860286
38,L-08,L-01,0,4.4,5,N 36 29.188,W 079 43.025,7/15/2015,D-08,Leaching,B,16-Aug,S1,0,2.720017588,0.030005688
39,L-08,L-01,0,4.4,5,N 36 29.188,W 079 43.025,7/15/2015,D-08,Leaching,B,0-8,S2,21.45976265,1.128459696,0.011759179
40,L-08,L-01,0,4.4,5,N 36 29.188,W 079 43.025,7/15/2015,D-08,Leaching,B,16-Aug,S2,33.89847139,0.836033957,0.012099694
41,L-08,L-01,0,4.4,5,N 36 29.188,W 079 43.025,7/15/2015,D-08,Leaching,B,0-8,S3,55.65355828,1.567542632,0.010919471
42,L-08,L-01,0,4.4,5,N 36 29.188,W 079 43.025,7/15/2015,D-08,Leaching,B,16-Aug,S3,37.82524405,0.816699942,0.008274883
43,D-09,D-01,0.3,5.11,7,N 36 29.471,W 079 42.722,7/15/2015,D-09,Downstream,B,0-8,S1,77.23841816,0.876900936,0.01364567
44,D-09,D-01,0.3,5.11,7,N 36 29.471,W 079 42.722,7/15/2015,D-09,Downstream,B,16-Aug,S1,159.5885261,0.830545791,0.010734379
45,D-09,D-01,0.3,5.11,7,N 36 29.471,W 079 42.722,7/15/2015,D-09,Downstream,B,0-8,S2,55.28210825,0.849625091,0.010982613
46,D-09,D-01,0.3,5.11,7,N 36 29.471,W 079 42.722,7/15/2015,D-09,Downstream,B,16-Aug,S2,67.56770169,0.58604867,0.009294182
47,D-09,D-01,0.3,5.11,7,N 36 29.471,W 079 42.722,7/15/2015,D-09,Downstream,B,0-8,S3,48.5867843,0.442058663,0.005693995
48,D-09,D-01,0.3,5.11,7,N 36 29.471,W 079 42.722,7/15/2015,D-09,Downstream,B,16-Aug,S3,55.69402808,0.53932711,0.010532249
49,D-09,D-01,0.3,5.11,7,N 36 29.471,W 079 42.722,7/15/2015,D-09,Downstream,Dredge,Dredge,,27.60906822,0.315352199,0.016479365
50,D-11,D-02,1,8.34,8,N 36 29.895,W 079 40.836,7/22/2015,D-11,Downstream,C,0-4,Pooled,6.930720057,0.003911656,0.0009098
51,D-11,D-02,1,8.34,8,N 36 29.895,W 079 40.836,7/22/2015,D-11,Downstream,C,8-Apr,Pooled,24.24002783,0.06387023,0.001286177
52,D-11,D-02,1,8.34,8,N 36 29.895,W 079 40.836,7/22/2015,D-11,Downstream,C,12-Aug,Pooled,17.26322732,0.054311538,0.001534384
53,D-11,D-02,1,8.34,8,N 36 29.895,W 079 40.836,7/22/2015,D-11,Downstream,C,16-Dec,Pooled,0.791755519,0.001593175,0.00043136
54,D-11,D-03,1,8.34,8,N 36 29.895,W 079 40.836,7/22/2015,D-11,Downstream,Dredge,Dredge,,28.67017978,0.83379999,0.014912158
9,D-02,D-03,4.3,36.7,10,N 36 34.716,W 079 29.596,7/7/2015,D-02,Downstream,C,0-4,Pooled,0.62,0.000473041,0.000595106
10,D-02,D-03,4.3,36.7,10,N 36 34.716,W 079 29.596,7/7/2015,D-02,Downstream,C,8-Apr,Pooled,0.97,0.000193272,0.000686622
11,D-02,D-03,4.3,36.7,10,N 36 34.716,W 079 29.596,7/7/2015,D-02,Downstream,C,12-Aug,Pooled,0.58,0.000338617,0.00076283
12,D-02,D-03,4.3,36.7,10,N 36 34.716,W 079 29.596,7/7/2015,D-02,Downstream,C,16-Dec,Pooled,0.36,0.000383144,0.000517392
13,D-02,D-03,4.3,36.7,10,N 36 34.716,W 079 29.596,7/7/2015,D-02,Downstream,C,18-20,Pooled,117.37,0.528568588,0.01168819
14,D-02,D-03,4.3,36.7,10,N 36 34.716,W 079 29.596,7/7/2015,D-02,Downstream,Ponar,Ponar,,446.88,5.210913599,0.050308942
1,D-01,D-04,36.6,40.7,11,N 36 34.514,W 079 27.024,7/7/2015,D-01,Downstream,B,0-8,S1,25.23041729,0.082703811,0.044288987
5,D-01,D-04,36.6,40.7,11,N 36 34.514,W 079 27.024,7/7/2015,D-01,Downstream,B,0-8,S3,0.585859868,0.000229815,0.000587164
7,D-01,D-04,36.6,40.7,11,N 36 34.514,W 079 27.024,7/7/2015,D-01,Downstream,Dredge,Dredge,,2.398071501,0.000216714,0.000623315
8,D-01,D-04,36.6,40.7,11,N 36 34.514,W 079 27.024,7/7/2015,D-01,Downstream,Ponar,Ponar,,765.4879204,1.454774994,0.020830612
15,D-03,D-05,38,42.1,12,N 36 34.448,W 079 26.211,7/7/2015,D-03,Downstream,A,0-8,Pooled,0.245436507,0.000260829,0.001624787
16,D-03,D-05,38,42.1,12,N 36 34.448,W 079 26.211,7/7/2015,D-03,Downstream,A,16-Aug,Pooled,0.475770349,0.000996715,0.00103706
17,D-03,D-05,38,42.1,12,N 36 34.448,W 079 26.211,7/7/2015,D-03,Downstream,na,20-22,Pooled,7.083493691,0.014362747,0.000592739
18,D-03,D-05,38,42.1,12,N 36 34.448,W 079 26.211,7/7/2015,D-03,Downstream,Ponar,Ponar,,149.6519528,2.833567382,0.021791965
34,D-07,D-06,64.7,68.8,13,N 36 32.279,W 079 13.038,7/9/2015,D-07,Downstream,A,0-8,Pooled,31.38208575,0.431791001,0.002548264
35,D-07,D-06,64.7,68.8,13,N 36 32.279,W 079 13.038,7/9/2015,D-07,Downstream,A,16-Aug,Pooled,1.565211707,0.003284551,0.000113392
36,D-07,D-06,64.7,68.8,13,N 36 32.279,W 079 13.038,7/9/2015,D-07,Downstream,Dredge,Dredge,,8.645804597,0.237068431,0.007399045
