,,ID,Sampleold,Sample,Distance,Distanceriver,up.down,Location North,Location West,Date Sampled,Site ID,Spill Reference,Scheme,Top,Depth,Core ,HgcA,FeRB,SRB,
0.5,27,27,U-06,U-03,3.6,0.5,1,N 36 28.605,W 079 45.018,7/8/2015,D-06,Upstream,B,0,8,S1,145.0906706,1681.900962,14.64845671,5251.36
0.5,28,28,U-06,U-03,3.6,0.5,1,N 36 28.605,W 079 45.018,7/8/2015,D-06,Upstream,B,8,16,S1,227.5080281,3477.387917,19.24727495,13178.57
0.5,29,29,U-06,U-03,3.6,0.5,1,N 36 28.605,W 079 45.018,7/8/2015,D-06,Upstream,B,0,8,S2,88.70043665,1203.752244,3.711277309,3844.18
0.5,30,30,U-06,U-03,3.6,0.5,1,N 36 28.605,W 079 45.018,7/8/2015,D-06,Upstream,B,8,16,S2,157.7505805,2115.694053,12.91914642,19322.28
0.5,31,31,U-06,U-03,3.6,0.5,1,N 36 28.605,W 079 45.018,7/8/2015,D-06,Upstream,B,0,8,S3,117.6176258,3354.298152,13.8972117,3700.55
0.5,32,32,U-06,U-03,3.6,0.5,1,N 36 28.605,W 079 45.018,7/8/2015,D-06,Upstream,B,8,16,S3,120.8401187,2396.005255,11.56809631,11086.19
0.5,33,33,U-06,U-03,3.6,0.5,1,N 36 28.605,W 079 45.018,7/8/2015,D-06,Upstream,Dredge,,,,17.44390709,574.0211275,11.83991685,3562.79
1.42,22,22,U-05,U-02,2.7,1.42,3,N 36 28.261,W 079 44.598,7/8/2015,D-05,Upstream,C,0,4,Pooled,14.49575147,7.083358991,0.661576389,469.83
1.42,23,23,U-05,U-02,2.7,1.42,3,N 36 28.261,W 079 44.598,7/8/2015,D-05,Upstream,C,4,8,Pooled,6.083866229,3.690279572,0.496305703,207.83
1.42,24,24,U-05,U-02,2.7,1.42,3,N 36 28.261,W 079 44.598,7/8/2015,D-05,Upstream,C,8,12,Pooled,24.64826525,558.4362148,4.179372199,1071.56
1.42,25,25,U-05,U-02,2.7,1.42,3,N 36 28.261,W 079 44.598,7/8/2015,D-05,Upstream,C,12,16,Pooled,13.77965269,766.2391501,5.557519956,428.98
1.42,26,26,U-05,U-02,2.7,1.42,3,N 36 28.261,W 079 44.598,7/8/2015,D-05,Upstream,Dredge,,,,27.61772315,407.307171,5.575482654,4808.25
2.53,19,19,U-04,U-01,1.6,2.53,4,N 36 28.574,W 079 43.989,7/8/2015,D-04,Upstream,A,0,8,Pooled,10.18224496,1.181070545,0.313847889,278.01
2.53,20,20,U-04,U-01,1.6,2.53,4,N 36 28.574,W 079 43.989,7/8/2015,D-04,Upstream,A,8,16,Pooled,0.270763504,1.38165455,0.341924053,4.55
2.53,21,21,U-04,U-01,1.6,2.53,4,N 36 28.574,W 079 43.989,7/8/2015,D-04,Upstream,Ponar,,,,135.1352759,855.9782117,10.98671813,28238.84
4.4,37,37,L-08,L-01,0,4.4,5,N 36 29.188,W 079 43.025,7/15/2015,D-08,Leaching,B,0,8,S1,113.2638304,4695.462393,14.20866021,9818.8
4.4,38,38,L-08,L-01,0,4.4,5,N 36 29.188,W 079 43.025,7/15/2015,D-08,Leaching,B,8,16,S1,0,2543.023175,28.05318582,0
4.4,39,39,L-08,L-01,0,4.4,5,N 36 29.188,W 079 43.025,7/15/2015,D-08,Leaching,B,0,8,S2,23.83358801,1253.28709,13.05995049,838.27
4.4,40,40,L-08,L-01,0,4.4,5,N 36 29.188,W 079 43.025,7/15/2015,D-08,Leaching,B,8,16,S2,30.66902324,756.3864624,10.94697771,1669.88
