Site ID,Distance from Spill (km),Distance from Smith River confluence (km),Longitude and Latitude,Sampling Scheme,Shore Samples (n),Channel Samples (n)
U-03,3.6,0.5,"N 36 28.605, W 079 45.018",B,6,1
U-02,2.7,1.42,"N 36 28.261, W 079 44.598",C,4,1
U-01,1.6,2.53,"N 36 28.574, W 079 43.989",A,2,1
L-01,0,4.4,"N 36 29.188, W 079 43.025",B,6,0
D-01,0.3,5.11,"N 36 29.471, W 079 42.722",B,6,1
D-02,1,8.34,"N 36 29.895, W 079 40.836",C,4,1
D-03,4.3,36.7,"N 36 34.716, W 079 29.596",C,5,1
D-04,36.6,40.7,"N 36 34.514, W 079 27.024",B,6,1
D-05,38,42.1,"N 36 34.448, W 079 26.211",A,3,1
D-06,64.7,68.8,"N 36 32.279, W 079 13.038",A,2,1
